n,phase,ref,authority,days,id_kind,identifier,brand,product,search_this,IN,COM,DE,query_that_worked,notes
1,reality-check,SR/02112/26,SAFETY_GATE,19,gtin,8435127113074,Eurofiestas,Balloons,8435127113074,,,,,
2,reality-check,SR/02129/26,SAFETY_GATE,19,gtin,6416570051795,,Soft & Cute,6416570051795,,,,,
3,reality-check,OR/00091/26,SAFETY_GATE,19,gtin,5710247214072,Ming Of Art Fireworks,Mandrill,5710247214072,,,,,
4,reality-check,SR/02045/26,SAFETY_GATE,33,gtin,3664944533023,Jeux 2 mômes,"Pelota un gato un apretón, cat squeeze ball",3664944533023,,,,,
5,reality-check,SR/02037/26,SAFETY_GATE,33,gtin,5902496099399,,Fishing,5902496099399,,,,,
6,reality-check,SR/01710/26,SAFETY_GATE,68,gtin,3700507913434,ARVA,Avalanche transceiver,3700507913434,,,,,
7,reality-check,SR/01631/26,SAFETY_GATE,68,gtin,8034108163376,Estrosa,Arancio Energy,8034108163376,,,,,
8,reality-check,SR/01694/26,SAFETY_GATE,68,gtin,8034135954107,Estrosa,Fluo Vernis - Orange Fluo,8034135954107,,,,,
9,reality-check,SR/01696/26,SAFETY_GATE,68,gtin,3770039334014,MIVANO,Bouilloire en verre - Glass electric kettle,3770039334014,,,,,
10,reality-check,SR/01715/26,SAFETY_GATE,68,gtin,8712930022312,MAXI COSI,Base Maxi Cosi FamilyFix Slide Pro,8712930022312,,,,,
11,reality-check,SR/03130/25,SAFETY_GATE,348,gtin,8401501102002,Lampki choinkowe led,Lighting chain,8401501102002,,,,,
12,reality-check,SR/03125/25,SAFETY_GATE,348,gtin,8430647030962,Euroshrink,LED power supply,8430647030962,,,,,
13,reality-check,SR/03143/25,SAFETY_GATE,348,gtin,6947654000038,,FIVE-POINTED STAR,6947654000038,,,,,
14,reality-check,SR/03097/25,SAFETY_GATE,355,gtin,6923450756171,essaco,Lamps gumovy svitici,6923450756171,,,,,
15,reality-check,SR/03105/25,SAFETY_GATE,355,gtin,7350088554692,Nordic Import,LED Mirror light,7350088554692,,,,,
16,golden-set,A12/02558/24,SAFETY_GATE,712,gtin,5101667831800,7 Toys Kolorow,Toy slime,5101667831800,,,,,
17,golden-set,A12/02549/24,SAFETY_GATE,712,gtin,6845789988682,Shunqile,Amore Di Mamma / Baby Toys FUN AND PUZZLE,6845789988682,,,,,
18,golden-set,A12/02527/24,SAFETY_GATE,712,gtin,6937372281338,Yves Saint Laurent,BLACK OPIUM NUIT,6937372281338,,,,,
19,golden-set,A12/02546/24,SAFETY_GATE,712,gtin,6932931853,MJCM Limited,Plush Toy,6932931853,,,,,
20,golden-set,A12/02552/24,SAFETY_GATE,712,gtin,5907813184475,Wats élysée,COOL COLORS!,5907813184475,,,,,
21,golden-set,26655,CPSC,20,model,LT003,"Hangzhou Xinyanchuangxin Tech. Co., Ltd. dba Mangohood Direct, of China","Mangohood Direct Kids Kitchen Standing Towers, Model LT003",LT003,,,,,
22,golden-set,26628,CPSC,34,model,LT01,"Yiwushi Bihe Trading Co., Ltd., of China","SDADI Kitchen Step Stools, models LT01 and LT05",LT01,,,,,
23,golden-set,26550,CPSC,69,model,Year 2026 Teryx4 H2,"Kawasaki Motors Manufacturing Corp., U.S.A., of Lincoln, Nebraska",Model Year 2026 Teryx4 H2 and Teryx5 H2 recreational off-road vehicles,Year 2026 Teryx4 H2,,,,,
24,golden-set,26556,CPSC,69,model,Year 2019-2025 UMAX Bistro,"Yamaha Golf-Car Company, of Kennesaw, Georgia",Model Year 2019-2025 UMAX Bistro and Bistro Deluxe Vehicles,Year 2019-2025 UMAX Bistro,,,,,
25,golden-set,26514,CPSC,83,model,MT2287,"Missry Associates, Inc., doing business as Misco Enterprises, of Edison, New Jersey","Misco Sports Light-Up Racket Sets, model MT2287",MT2287,,,,,
26,golden-set,26458,CPSC,111,model,Year 2025-2026 CRF250R/RX/RWE,"American Honda Motor Co. Inc, of Torrance, California",Model Year 2025-2026 CRF250R/RX/RWE and CRF450R/RX/RWE Off-Road Motorc,Year 2025-2026 CRF250R/RX/RWE,,,,,
27,golden-set,25430,CPSC,370,model,D3190DCDN,"Spectrum Brands Inc. for the benefit of Empower Brands, LLC, both of Middleton, Wisconsin","Hair Dryers sold under the ""Remington"" brand, model number D3190DCDN",D3190DCDN,,,,,
28,golden-set,26670,CPSC,13,none,,"EEMB USA, doing business as A2batt, Inc., of Redlands, California",EEMB Lithium-ion Coin Battery Chargers with Rechargeable 2032 Batterie,"EEMB USA, doing business as A2batt, Inc., of Redlands, California EEMB Lithium-ion Coin Battery Chargers w",,,,,
29,golden-set,26674,CPSC,13,none,,"Vanderhall North America, LLC, of Provo, Utah",Vanderhall Brawley GTS electric recreational off highway vehicles,"Vanderhall North America, LLC, of Provo, Utah Vanderhall Brawley GTS electric recreati",,,,,
30,golden-set,26657,CPSC,20,none,,"Guangzhou Dida Electronic Commerce Co., Ltd. dba CetoPMax, of China",Cpzzkq Baby Loungers,"Guangzhou Dida Electronic Commerce Co., Ltd. dba CetoPMax, of China Cpzzkq Baby Loungers",,,,,
31,golden-set,26618,CPSC,34,none,,"Panasonic Manufacturing (Xiamen) Co., Ltd, of Xiamen, Fujian, China",Electric Toaster Ovens,"Panasonic Manufacturing (Xiamen) Co., Ltd, of Xiamen, Fujian, China Electric Toaster Ovens",,,,,
32,golden-set,26537,CPSC,69,none,,"HSN, Inc., of West Chester, Pennsylvania",Kitchen HQ Thermal Insulated Bowls with Detachable Hinged Lids,"HSN, Inc., of West Chester, Pennsylvania Kitchen HQ Thermal Insulated Bowls with",,,,,
33,golden-set,26504,CPSC,90,none,,"Bethlehem Lights LLC, of Naperville, Illinois",Bethlehem Lights 10-inch Illuminated Ribbon Spheres,"Bethlehem Lights LLC, of Naperville, Illinois Bethlehem Lights 10-inch Illuminated Rib",,,,,
34,golden-set,26483,CPSC,97,none,,"Missry Associates Inc., doing business as Misco Enterprises, of Edison, New Jersey",Misco Sports Badminton Toy Sets Red/Blue MT2383,"Missry Associates Inc., doing business as Misco Enterprises, of Edison, New Jersey Misco Sports Badminton Toy Sets Red/Blue",,,,,
35,golden-set,26466,CPSC,104,none,,"ZMC Group, Inc., of Los Angeles, California",Various Battery-operated Light Up Toys,"ZMC Group, Inc., of Los Angeles, California Various Battery-operated Light Up Toys",,,,,
36,golden-set,25452,CPSC,356,none,,"TTI Outdoor Power Equipment, Inc. (TTIOPE), of Anderson, South Carolina",RYOBI Electric Pressure Washers,"TTI Outdoor Power Equipment, Inc. (TTIOPE), of Anderson, South Carolina RYOBI Electric Pressure Washers",,,,,
37,golden-set,25433,CPSC,370,none,,"Shantou Jinping District Wuqikong Daily Necessities Store, dba STWUQIKONG, of China",Children's Spiral Tower Toys,"Shantou Jinping District Wuqikong Daily Necessities Store, dba STWUQIKONG, of China Children's Spiral Tower Toys",,,,,
38,golden-set,25424,CPSC,377,none,,"Monica Vinader Inc., of New York, New York",Monica Vinader 14k Yellow Gold Mini Heart Jewelry,"Monica Vinader Inc., of New York, New York Monica Vinader 14k Yellow Gold Mini Hear",,,,,
39,golden-set,25413,CPSC,384,none,,"Tegu Holdings Inc., of Naples, Florida",Magnetic Floating Stackers toys,"Tegu Holdings Inc., of Naples, Florida Magnetic Floating Stackers toys",,,,,
40,golden-set,24347,CPSC,727,none,,"Head Rush Technologies, of Louisville, Colorado",TRUBLUE Speed Auto Belay Devices,"Head Rush Technologies, of Louisville, Colorado TRUBLUE Speed Auto Belay Devices",,,,,
41,golden-set,24745,CPSC,734,none,,"Lypometal Sdn. Bhd., of Malaysia (Sunjoy Group)",Berkley Jensen Gazebos,"Lypometal Sdn. Bhd., of Malaysia (Sunjoy Group) Berkley Jensen Gazebos",,,,,
42,golden-set,24329,CPSC,748,none,,"ECHO Inc., of Lake Zurich, Illinois",ECHO gas-powered backpack blowers,"ECHO Inc., of Lake Zurich, Illinois ECHO gas-powered backpack blowers",,,,,
43,golden-set,26648,CPSC,13,none,,"Generac Power Systems Inc., of Waukesha, Wisconsin","DR Power PRO MAX30 30"" Walk-Behind Power Lawn Mowers","Generac Power Systems Inc., of Waukesha, Wisconsin DR Power PRO MAX30 30"" Walk-Behind Power",,,,,
44,golden-set,26638,CPSC,27,none,,"Foshanshi Kaijinying Dianzishangmao Youxiangongsi (Foshan Kaijinying Electronic Commerce Co., Ltd.), dba YouRfocus, of China",CuddleCubs Creations Baby Highchair Teething Toy Sets,"Foshanshi Kaijinying Dianzishangmao Youxiangongsi (Foshan Kaijinying Electronic Commerce Co., Ltd.), dba YouRfocus, of China CuddleCubs Creations Baby Highchair Teet",,,,,
45,golden-set,SR/01632/26,SAFETY_GATE,68,gtin,6941848255204,Pop Mart (COUNTERFEIT),THE MONSTERS - Have a Seat Vinyl Plush Blind Box,6941848255204,,,,,
46,golden-set,SR/01726/26,SAFETY_GATE,68,gtin,8033065599310,Jessie Milano,Builder Gel - No burn Extremely Strong 30 ML,8033065599310,,,,,
47,golden-set,SR/03141/25,SAFETY_GATE,348,gtin,5904326402676,BIGTOYS,GUN-FIGHT,5904326402676,,,,,
48,golden-set,SR/03074/25,SAFETY_GATE,355,gtin,0754194755382,,Necklace No. 119,0754194755382,,,,,
49,golden-set,A12/02507/24,SAFETY_GATE,712,gtin,6974760350160,Superfire,Superfire,6974760350160,,,,,
50,golden-set,24351,CPSC,720,none,,"Fisher-Price Inc., of East Aurora, New York",Dumbbell toy sold with Baby Biceps Gift Set,"Fisher-Price Inc., of East Aurora, New York Dumbbell toy sold with Baby Biceps Gift",,,,,
