notice_ref,authority,published,days_since_recall,product,brand_or_model,gtin,gtin_valid,arm,marketplace,arm_state,arm_coverage_pct,arm_verdict,row_tier,found_by_query,discard_reasons,hazard
OR/00089/26,SAFETY_GATE,2026-07-31,19,Røgsky,"0163-F2-5300,",5714217873573,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"The fireworks may burst or eject burning material outside the designated safety distance of 8 m, causing eye injuries and/or burns to the user or bystanders. Moreover, the product's fuse may not ignite. The user may decide to reignite parts of the product, which poses a risk of burns and/or eye injuries."
OR/00089/26,SAFETY_GATE,2026-07-31,19,Røgsky,"0163-F2-5300,",5714217873573,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"The fireworks may burst or eject burning material outside the designated safety distance of 8 m, causing eye injuries and/or burns to the user or bystanders. Moreover, the product's fuse may not ignite. The user may decide to reignite parts of the product, which poses a risk of burns and/or eye injuries."
OR/00089/26,SAFETY_GATE,2026-07-31,19,Røgsky,"0163-F2-5300,",5714217873573,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"The fireworks may burst or eject burning material outside the designated safety distance of 8 m, causing eye injuries and/or burns to the user or bystanders. Moreover, the product's fuse may not ignite. The user may decide to reignite parts of the product, which poses a risk of burns and/or eye injuries."
OR/00091/26,SAFETY_GATE,2026-07-31,19,Mandrill,"0163-F2-4419,",5710247214072,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"The fireworks may burst or release burning material outside the safety distance of 8 m or below a height of 3 m, causing burns or eye injuries. This can lead to injuries, burns and damage to sight. Furthermore, the sound pressure level is too high, which can cause damage to hearing."
OR/00091/26,SAFETY_GATE,2026-07-31,19,Mandrill,"0163-F2-4419,",5710247214072,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"The fireworks may burst or release burning material outside the safety distance of 8 m or below a height of 3 m, causing burns or eye injuries. This can lead to injuries, burns and damage to sight. Furthermore, the sound pressure level is too high, which can cause damage to hearing."
OR/00091/26,SAFETY_GATE,2026-07-31,19,Mandrill,"0163-F2-4419,",5710247214072,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"The fireworks may burst or release burning material outside the safety distance of 8 m or below a height of 3 m, causing burns or eye injuries. This can lead to injuries, burns and damage to sight. Furthermore, the sound pressure level is too high, which can cause damage to hearing."
SR/02005/26,SAFETY_GATE,2026-07-17,33,200 L,BTDB200WW,6920452022174,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"The structure of the socket allows single-pole insertion of plugs and the protection surface of the plug's face is insufficient. Moreover, the wires can be pulled or twisted out of their terminals and the single-layer insulation is insufficient for a Class II appliance, which could lead to exposed live parts. Finally, the insulation does not ensure adequate separation from live (active) parts during the lifetime of the luminaire. The user could touch accessible live parts and receive an electric shock."
SR/02005/26,SAFETY_GATE,2026-07-17,33,200 L,BTDB200WW,6920452022174,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"The structure of the socket allows single-pole insertion of plugs and the protection surface of the plug's face is insufficient. Moreover, the wires can be pulled or twisted out of their terminals and the single-layer insulation is insufficient for a Class II appliance, which could lead to exposed live parts. Finally, the insulation does not ensure adequate separation from live (active) parts during the lifetime of the luminaire. The user could touch accessible live parts and receive an electric shock."
SR/02005/26,SAFETY_GATE,2026-07-17,33,200 L,BTDB200WW,6920452022174,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"The structure of the socket allows single-pole insertion of plugs and the protection surface of the plug's face is insufficient. Moreover, the wires can be pulled or twisted out of their terminals and the single-layer insulation is insufficient for a Class II appliance, which could lead to exposed live parts. Finally, the insulation does not ensure adequate separation from live (active) parts during the lifetime of the luminaire. The user could touch accessible live parts and receive an electric shock."
SR/02019/26,SAFETY_GATE,2026-07-17,33,Fouet inox nylon,HO203897,3616180381722,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"The product has aromatic amines. When in direct and prolonged contact with the skin, the aromatic amines may be absorbed by the skin. Aromatic amines can cause cancer, cell mutations and affect reproduction."
SR/02019/26,SAFETY_GATE,2026-07-17,33,Fouet inox nylon,HO203897,3616180381722,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"The product has aromatic amines. When in direct and prolonged contact with the skin, the aromatic amines may be absorbed by the skin. Aromatic amines can cause cancer, cell mutations and affect reproduction."
SR/02019/26,SAFETY_GATE,2026-07-17,33,Fouet inox nylon,HO203897,3616180381722,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"The product has aromatic amines. When in direct and prolonged contact with the skin, the aromatic amines may be absorbed by the skin. Aromatic amines can cause cancer, cell mutations and affect reproduction."
SR/02027/26,SAFETY_GATE,2026-07-17,33,Puro Slider,SQ-903,8056351975186,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"In the event of an impact, the helmet could easily become detached and slip off the head of the user, leaving it exposed to injuries."
SR/02027/26,SAFETY_GATE,2026-07-17,33,Puro Slider,SQ-903,8056351975186,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"In the event of an impact, the helmet could easily become detached and slip off the head of the user, leaving it exposed to injuries."
SR/02027/26,SAFETY_GATE,2026-07-17,33,Puro Slider,SQ-903,8056351975186,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"In the event of an impact, the helmet could easily become detached and slip off the head of the user, leaving it exposed to injuries."
SR/02033/26,SAFETY_GATE,2026-07-17,33,Super Strike,511292,6412165112926,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,The toy has small parts (the suction cups) that can easily detach. A small child could put them in their mouth and choke.
SR/02033/26,SAFETY_GATE,2026-07-17,33,Super Strike,511292,6412165112926,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,The toy has small parts (the suction cups) that can easily detach. A small child could put them in their mouth and choke.
SR/02033/26,SAFETY_GATE,2026-07-17,33,Super Strike,511292,6412165112926,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,The toy has small parts (the suction cups) that can easily detach. A small child could put them in their mouth and choke.
SR/02035/26,SAFETY_GATE,2026-07-17,33,SLIME LALKA,BPLA1306,5904326471306,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,The migration of boron from the toy slime is too high (measured value up to 795 mg/kg). Ingestion or contact with an excessive quantity of boron may harm the health of children by damaging their reproductive system.
SR/02035/26,SAFETY_GATE,2026-07-17,33,SLIME LALKA,BPLA1306,5904326471306,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,The migration of boron from the toy slime is too high (measured value up to 795 mg/kg). Ingestion or contact with an excessive quantity of boron may harm the health of children by damaging their reproductive system.
SR/02035/26,SAFETY_GATE,2026-07-17,33,SLIME LALKA,BPLA1306,5904326471306,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,The migration of boron from the toy slime is too high (measured value up to 795 mg/kg). Ingestion or contact with an excessive quantity of boron may harm the health of children by damaging their reproductive system.
SR/01957/26,SAFETY_GATE,2026-07-10,40,Water pump,STAR25/6A,5065014385104,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"Due to incorrect mains electrical coupling, the product poses a risk of electric shock to the user."
SR/01957/26,SAFETY_GATE,2026-07-10,40,Water pump,STAR25/6A,5065014385104,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"Due to incorrect mains electrical coupling, the product poses a risk of electric shock to the user."
SR/01957/26,SAFETY_GATE,2026-07-10,40,Water pump,STAR25/6A,5065014385104,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"Due to incorrect mains electrical coupling, the product poses a risk of electric shock to the user."
SR/01963/26,SAFETY_GATE,2026-07-10,40,Sand-filled toy,967176,4032722967176,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,The toy could rupture and the filling of the inside could come out. The sand inside contains asbestos. Asbestos could cause cancer.
